Genes,Bcl11a,Bcl11b,Bcl2,Cd3e,Cd3g,Cebpa,Cpa3,Dtx1,Ebf1,Egr2,Eomes,Ets1,Ets2,FoxO1,Gata2,Gata3,Gfi1,Gfi1b,Hes1,Hhex,Id2,Id3,Ikzf1,Ikzf3,Il2ra,Il7r,Kit,Lat,Lck,Lef1,Lmo2,Lyl1,Mitf,Myb,Nfil3,Notch1,Notch3,Nrarp,Pax5,Ptcra,Rag1,Rora,Runx1,Runx3,Sfpi1,Spib,Tal1,Tbx21,Tcf12,Tcf3,Tcf7,Tcrb-J,Zap70,Zfp105,Zfp42
proB_CLP_BM,1498.81,83.86,129.72,79.45,40.32,128.24,84.28,101.26,151.97,65.34,38.02,474.28,109.6,191.21,145.28,100,123.26,206.84,84.63,581.09,211.22,55.95,1741.14,53.11,26.14,1814.26,1592.71,284.98,567.16,75.52,1539.12,872.08,34.74,2898.81,283.21,2251.66,87.06,73.08,96.79,65.82,1504.97,55.56,685.86,535.57,647.37,70.74,113.09,52.92,729.12,634.56,148.69,43.48,94.33,22.58,26.37
proB_CLP_FL,1607.79,73.29,77.46,65.6,32.32,216.84,143.52,84.7,553.4,56.12,31.64,353.64,177.02,304.88,140.29,105.37,149.09,254.53,192.95,547.99,277.95,86.91,1662.95,29.03,21.61,1331.56,2185.54,169.35,352.97,75.3,1538.28,754.49,43.02,2431.48,512.82,1780.1,102.09,82.85,222.43,58.17,1996.85,50.27,872.64,424.14,1028.66,60.77,114.05,51.36,773.9,799.96,173.34,52.77,62.62,36.4,23.41
preT_ETP_Th,1774.16,93.18,53.74,100.23,119.59,84.1,557.34,158.84,28.91,106.83,36.86,272.56,103.37,207.92,104.48,361.4,178.39,268.01,709.77,500.79,133.96,65.65,1157.52,56.68,71.54,235.78,3270.23,466.92,1416.35,84.76,1451.25,805.89,32.82,2048.8,167.52,2814.26,124.9,354.33,50.32,68.37,81.88,67.48,1016.46,653.33,762.2,47.56,125.12,65.99,668.07,707.11,1091.5,84.34,67.11,20.5,21.51
preT_ETP-2A_Th,1763.55,170.43,79.25,101.88,109.57,66.72,1398.63,245.84,29.25,73.64,36.92,219.74,62.41,169.88,88.84,585.2,167.42,385.53,406.12,366.94,95.79,52.54,1426.95,45.15,1526.83,385.94,4602.92,474.75,1464.33,76.62,634.65,862.74,33.38,2640.08,127.11,3468.3,150.27,264.88,49.56,79.19,50.91,76.02,1429.63,1018.96,1056.25,47.29,127.95,60.39,843.03,754.9,2791.01,89.51,75.09,22.98,21.77
preT_DN2_Th,733.83,709.64,83.82,186.54,1462.89,68.24,2524.35,158.84,30.24,61.09,37.88,470.12,90.32,132.27,66.21,981.89,240.17,336.28,544.13,367.34,85.35,44.18,1267.04,34.25,3169.43,973.69,2671.14,1248.87,2377.09,89.13,218.86,847.09,28.54,3041.86,92.88,2577.42,277.47,226.16,50.37,69.75,160.85,43.31,1350.46,626.74,444.48,61.77,114.36,64.01,1230.76,951.55,2864.78,97,80.98,23.53,22.47
preT_DN2A_Th,843.32,544.6,61.94,104.8,378.76,58.31,2165.81,160.28,27.07,67,30.72,454.14,83.94,129.91,67.19,767.48,194.32,387.75,1033.16,353.01,103.29,44.49,1177.23,27.9,2723.06,843.26,2783.35,1253.35,2320.57,83.04,300.89,847.75,31.68,2870.02,121.85,2515.12,235.72,336.2,48.25,66.01,81.29,54.21,1253.59,612.66,482.95,62.14,105.52,61.23,1122.27,982.46,2424.39,90.03,67.06,21.51,19.16
preT_DN2B_Th,256.45,1297.29,88.37,747.6,4839.75,57.58,1709.94,111.64,29.81,73.46,36.14,1014.76,131.89,233.07,58.13,1007.22,332.59,125.93,783.79,176.6,111.51,70.61,1219.04,37.65,2383.61,958.86,1305.62,2270.27,2722.78,189.73,131.23,362.52,30.54,3095.04,107.98,2503.41,376.24,162.62,48.6,69.41,214.07,60.09,1677.94,599.86,142.23,92.27,100.09,58.87,1480.7,944.96,2512.64,101.21,124.34,21.81,27.65
preT_DN2-3_Th,302.1,1338.32,160.06,2065.49,9133.4,50.96,2207.6,136.7,34.28,58.67,33.02,841.4,157.18,222.75,65.38,1835.07,347.51,156.74,608.92,145.35,103.14,64.24,1435.63,36.15,3060.38,880.74,1478.63,2338.42,3488.01,330.05,92.09,391.72,37.32,3578.32,74.56,3349.25,537.4,125.79,46.2,140.78,592.38,44.47,1866.62,927.57,309.67,126.85,93.71,57.66,1873.8,962.91,4595.71,133.86,202.72,19.38,23.49
preT_DN3A_Th,253.6,2023.82,110.78,3234.87,11472.2,63.58,323.41,849.51,33.61,64.74,39.34,1337.75,464.87,245,70.81,1362.79,527,147.38,846.51,45.82,109.97,62.6,1209.48,52.44,3834.22,672.25,645.36,3364.13,4926.33,1506.09,89.14,131.16,30.43,3211.6,71.12,5827.58,2298.94,86.79,54.48,1007.71,6015.84,51.19,2008.04,388.8,65.31,512.17,90.99,65.14,2596.65,900.35,3717.83,190.19,186.96,17.88,24.2
preT_DN3B_Th,171.54,970.28,75.85,1515.67,5984.22,61.87,36.16,273.86,30.67,75.52,35.86,1213.85,389.12,192.63,71.16,1386.36,289.24,165.08,287.42,40.13,48.04,149.15,1506.97,297.48,1298.18,592.51,320.17,2212.18,3606.9,2957.37,89.18,123.65,26.85,1938.88,83.19,2798.42,452.07,109.8,44.99,311.49,1994.89,40.08,979.77,218.02,33.89,74.26,80.68,72.86,1786.02,956.06,4073.87,632.82,458.31,18.37,24.41
preT_DN3-4_Th,118.69,640.37,58.71,1702.09,5916.98,74.76,42.99,193.91,35.76,73.66,42.54,1037.14,366.25,176.34,68.39,1058.42,225.04,143.88,147.72,51.18,45.96,147.36,1267.4,513.81,237.45,412.28,191.71,1782.32,2247.09,2594.72,115.74,139.06,33.96,1731.42,63.14,1584.3,241.32,81.77,52.37,244.23,2061.74,52.38,772.33,164.54,39.43,58.55,88.47,90.97,2180.8,646.26,4133.06,473.73,348.73,23.21,26.74
T_DN4_Th,82.03,933.52,75.72,1748.7,6250.51,59.06,86.52,163.21,32.68,268.72,43.44,1619.99,597.88,364.11,63.26,1338.17,275.98,123.69,101.12,47.83,99.51,222.06,2032.61,1058.51,48.29,210.22,267.21,2229.65,3492.42,3157.3,96.3,133.11,33.05,1764.15,75.85,1625.27,239.3,77.94,49.6,223.86,2790.76,63.67,679.27,256.3,36.85,49,85.16,90.68,2048.43,775.45,5130.65,735.19,673.69,21.92,22.73
T_ISP_Th,73.48,1072.11,46.44,1266.16,4526.46,56.23,14.3,140.85,28,64.51,37.67,1798.89,645.78,188.46,66.82,1036.53,263.73,91.69,76.39,49.6,42.85,179.76,1589.1,763.02,45.38,163.2,159.7,1978.34,3350.29,1893.36,89.61,113.25,34.5,1874.5,79.21,2159.36,307.46,83.7,45.6,217.72,4752.97,47.65,653.31,145.26,34.53,48.96,67.57,68.82,2342.76,811.83,4642.51,708.02,387.01,19.63,25.02
T_DP_Th,132.71,1953.73,73.5,2103.26,5366.85,111.4,17.97,160.05,31.47,143.1,59.23,2198.18,2388.51,344.6,92.77,1028.79,383.64,144.09,94.28,45.66,52.36,191.1,2109.2,1132.62,42.08,42.06,108.81,2050.23,3547.24,1904.7,114.68,162.11,40.06,2608.78,79.43,1048.28,187.51,72.22,68.15,179.17,9342.52,67.44,759.78,126.29,73.85,65.42,115.03,77.75,2297.39,897.75,5237.2,492.79,469.84,29.01,47.54
T_DPbl_Th,80.93,1860.74,61.19,1801.03,5080.31,65.25,14.53,141.6,28.03,66.35,37.2,2191.97,1895.19,299.51,71.53,1024.23,438.93,104.79,65.4,41.37,42.23,159.63,2330.22,1138.56,36.38,35,83.44,2328.85,4549.61,2196.96,122.8,128.67,33.63,2350.53,71.34,1586.07,304.95,127.28,46.97,179.91,8667.33,45.2,918.4,139.98,33.97,43.67,74.79,67.99,3096.85,909.23,5938.3,864.22,444.09,19.34,26.37
